numCases = 21;

Case 1: [96 400 200] CC200																					
Delay	0.0960	0.1119	0.1279	0.1438	0.1598	0.1757	0.1917	0.2076	0.2236	0.2395	0.2555	0.2714	0.2874	0.3033	0.3193	0.3352	0.3512	0.3671	0.3831	0.3990	
Abs Perf	1.3320	1.3603	1.3710	1.8857	1.9974	2.0697	2.6111	2.8082	2.9817	3.1332	3.9392	4.1552	5.0152	5.2828	6.2585	7.2430	7.6333	9.6192	10.9276	13.2155	
Norm Perf																					
																					
Case 2: [35 100 50] DCM50																					
Delay	0.0350	0.0384	0.0417	0.0451	0.0485	0.0518	0.0552	0.0586	0.0619	0.0653	0.0687	0.0721	0.0754	0.0788	0.0822	0.0855	0.0889	0.0923	0.0956	0.0990	
Abs Perf	1.4336	1.4357	1.4377	1.4398	1.4417	1.4439	1.4461	1.4483	1.4506	1.4530	1.4553	1.4576	1.4599	1.4621	1.4643	1.4664	1.4685	1.4705	1.4725	1.4745	
Norm Perf																					
																					
Case 3: [84 400 200] CSS200																					
Delay	0.0840	0.1006	0.1172	0.1337	0.1503	0.1669	0.1835	0.2001	0.2166	0.2332	0.2498	0.2664	0.2829	0.2995	0.3161	0.3327	0.3493	0.3658	0.3824	0.3990	
Abs Perf	5.6560	5.8366	6.0141	6.1965	6.4002	6.6694	7.1017	7.9377	8.0613	8.1832	8.3073	8.4282	8.5504	8.6723	8.7940	8.9248	9.0712	9.2653	9.5853	10.2329	
Norm Perf																					
																					
Case 4: [71 400 200]  ACC200																					
Delay	0.0710	0.0883	0.1055	0.1228	0.1401	0.1573	0.1746	0.1918	0.2091	0.2264	0.2436	0.2609	0.2782	0.2954	0.3127	0.3299	0.3472	0.3645	0.3817	0.3990	
Abs Perf	5.3332	5.8428	6.3946	6.9669	7.5272	8.0548	8.5424	8.9871	9.4817	10.0074	10.4914	10.9366	11.3542	11.7478	12.0702	12.2295	13.4797	15.1723	18.6147	28.6991	
Norm Perf																					
																					
Case 5: [38 200 100] DCM100																					
Delay	0.0380	0.0465	0.0549	0.0634	0.0719	0.0804	0.0888	0.0973	0.1058	0.1143	0.1227	0.1312	0.1397	0.1482	0.1566	0.1651	0.1736	0.1821	0.1905	0.1990	
Abs Perf	2.8688	2.8928	2.9185	2.9450	2.9715	2.9981	3.0272	3.0565	3.0802	3.1014	3.1246	3.1478	3.1711	3.1944	3.2195	3.2451	3.2709	3.2967	3.3247	3.3531	
Norm Perf																					
																					
Case 6: [64 200 100] CC100																					
Delay	0.0640	0.0711	0.0782	0.0853	0.0924	0.0995	0.1066	0.1137	0.1208	0.1279	0.1351	0.1422	0.1493	0.1564	0.1635	0.1706	0.1777	0.1848	0.1919	0.1990	
Abs Perf	0.6860	0.9432	0.9947	1.0292	1.0510	1.3580	1.4442	1.5188	1.8341	1.9936	2.0817	2.5060	2.6262	3.0918	3.2244	3.7499	4.3108	4.9027	5.9451	7.0859	
Norm Perf																					
																					
Case 7: [43 200 100] CSS100																					
Delay	0.0430	0.0512	0.0594	0.0676	0.0758	0.0841	0.0923	0.1005	0.1087	0.1169	0.1251	0.1333	0.1415	0.1497	0.1579	0.1662	0.1744	0.1826	0.1908	0.1990	
Abs Perf	1.2953	1.3961	1.4767	1.5417	1.5953	1.6518	1.7110	1.7826	1.7932	1.8025	2.2181	2.3022	2.3540	2.9031	2.9992	3.0675	3.1318	3.7344	3.8661	4.0080	
Norm Perf																					
																					
Case 8: [57 200 100] ACC100																					
Delay	0.0570	0.0645	0.0719	0.0794	0.0869	0.0944	0.1018	0.1093	0.1168	0.1243	0.1317	0.1392	0.1467	0.1542	0.1616	0.1691	0.1766	0.1841	0.1915	0.1990	
Abs Perf	11.9449	12.1569	12.3618	12.5598	12.7512	12.9362	13.1277	13.3511	13.5680	13.7788	13.9836	14.1829	14.3766	14.5649	14.7480	14.9258	15.0985	15.2668	15.4300	15.5884	
Norm Perf																					
																					
Case 9: [50 400 200] DCM200																					
Delay	0.0500	0.0684	0.0867	0.1051	0.1235	0.1418	0.1602	0.1786	0.1969	0.2153	0.2337	0.2521	0.2704	0.2888	0.3072	0.3255	0.3439	0.3623	0.3806	0.3990	
Abs Perf	6.6674	6.8030	6.9564	7.1253	7.3125	7.5212	7.7541	8.0145	8.3087	8.4346	8.5322	8.6380	8.7552	8.8849	9.0275	9.1867	9.3651	9.5640	9.7862	10.0362	
Norm Perf																					
																					
Case 10: [32 100 50] MPC50 (changed from-- [32 400 200])																					
Delay	0.0320	0.0355	0.0391	0.0426	0.0461	0.0496	0.0532	0.0567	0.0602	0.0637	0.0673	0.0708	0.0743	0.0778	0.0814	0.0849	0.0884	0.0919	0.0955	0.0990	
Abs Perf	0.5184	0.5352	0.5451	0.6852	0.7193	0.7356	0.8486	1.0120	1.0968	1.1386	1.3611	1.4205	1.6648	1.7284	2.0058	2.2952	2.6015	3.1598	3.7557	4.8679	
Norm Perf																					
																					
Case 11: [17 100 50] CC50																					
Delay	0.0170	0.0213	0.0256	0.0299	0.0343	0.0386	0.0429	0.0472	0.0515	0.0558	0.0602	0.0645	0.0688	0.0731	0.0774	0.0817	0.0861	0.0904	0.0947	0.0990	
Abs Perf	0.2658	0.3245	0.3377	0.3422	0.4600	0.4957	0.5164	0.6537	0.7040	0.7503	0.9218	1.0076	1.0579	1.2950	1.5302	1.6168	1.8973	2.4038	2.7381	3.5430	
Norm Perf																					
																					
Case 12: [52 200 100] DSC100																					
Delay	0.0520	0.0597	0.0675	0.0752	0.0829	0.0907	0.0984	0.1062	0.1139	0.1216	0.1294	0.1371	0.1448	0.1526	0.1603	0.1681	0.1758	0.1835	0.1913	0.1990	
Abs Perf	3.7562	3.8222	3.8849	3.9439	3.9960	4.0427	4.0797	4.1363	4.1989	4.2636	4.3273	4.3904	4.4536	4.5142	4.5733	4.6291	4.6807	4.7275	4.7678	4.7994	
Norm Perf																					
																					
Case 13: [27 100 50] ACC50																					
Delay	0.0270	0.0308	0.0346	0.0384	0.0422	0.0459	0.0497	0.0535	0.0573	0.0611	0.0649	0.0687	0.0725	0.0763	0.0801	0.0838	0.0876	0.0914	0.0952	0.0990	
Abs Perf	3.8371	3.8374	3.8377	3.8379	3.8382	3.8385	3.8388	3.8393	3.8398	3.8403	3.8408	3.8413	3.8417	3.8422	3.8427	3.8431	3.8435	3.8439	3.8442	3.8446	
Norm Perf																					
																					
Case 14: [47 400 200] APC200																					
Delay	0.0470	0.0655	0.0841	0.1026	0.1211	0.1396	0.1582	0.1767	0.1952	0.2137	0.2323	0.2508	0.2693	0.2878	0.3064	0.3249	0.3434	0.3619	0.3805	0.3990	
Abs Perf	7.9119	7.9184	7.9243	7.9299	7.9349	7.9396	7.9438	7.9477	7.9511	7.9563	7.9620	7.9677	7.9746	7.9846	8.0007	8.0267	8.0633	8.1209	8.4100	8.7921	
Norm Perf																					
																					
Case 15: [31 200 100] MPC100																					
Delay	0.0310	0.0398	0.0487	0.0575	0.0664	0.0752	0.0841	0.0929	0.1017	0.1106	0.1194	0.1283	0.1371	0.1459	0.1548	0.1636	0.1725	0.1813	0.1902	0.1990	
